,product_name,product_link,ingredient_name
350,Weight Watchers from Heinz Hearty Vegetable Broth Soup,https://groceries.asda.com/product/tinned-soup/weight-watchers-from-heinz-hearty-vegetable-broth-soup/30480846,Chicken or vegetable broth
351,Baxters Favourites Chicken Broth,https://groceries.asda.com/product/tinned-soup/baxters-favourites-chicken-broth/910000450864,Chicken or vegetable broth
352,Heinz Chicken Broth 400g,https://groceries.asda.com/product/tinned-soup/heinz-chicken-broth-400-g/1000383197234,Chicken or vegetable broth
353,Bakers Chicken & Veg Dry Puppy Dog Food,https://groceries.asda.com/product/dry-dog-food/bakers-chicken-veg-dry-puppy-dog-food/1000036796150,Chicken or vegetable broth
354,Encore Chicken Selection in Broth 5 x,https://groceries.asda.com/product/dog-food-tins/encore-chicken-selection-in-broth-5-x/1000023134987,Chicken or vegetable broth
355,Bakers Senior Dry Dog Food Chicken and Veg,https://groceries.asda.com/product/dry-dog-food/bakers-senior-dry-dog-food-chicken-and-veg/1000036796314,Chicken or vegetable broth
356,Crosse & Blackwell Roast Chicken & Vegetable,https://groceries.asda.com/product/tinned-soup/crosse-blackwell-roast-chicken-vegetable/910001299690,Chicken or vegetable broth
357,Bakers Dry Dog Food Chicken and Veg,https://groceries.asda.com/product/dry-dog-food/bakers-dry-dog-food-chicken-and-veg/1000036796138,Chicken or vegetable broth
358,ASDA Chunky Chicken & Vegetable Soup,https://groceries.asda.com/product/tinned-soup/asda-chunky-chicken-vegetable-soup/910000249370,Chicken or vegetable broth
359,Tilly & Ted Adult Chicken Dinner Chicken with Vegetables 400g,https://groceries.asda.com/product/dog-food-tins/tilly-ted-adult-chicken-dinner-chicken-with-vegetables-400-g/1000383223265,Chicken or vegetable broth
360,Tilly & Ted Adult Chicken Dinner Chicken with Vegetables 300g,https://groceries.asda.com/product/dog-food-trays-pouches/tilly-ted-adult-chicken-dinner-chicken-with-vegetables-300-g/1000383223321,Chicken or vegetable broth
361,Encore Chicken Selection in Broth Adult Cat Food Tins,https://groceries.asda.com/product/premium-wet-cat-food/encore-chicken-selection-in-broth-adult-cat-food-tins/910001300174,Chicken or vegetable broth
362,ASDA Free From Free From Chicken & Vegetable Pie,https://groceries.asda.com/product/gluten-free-frozen-food/asda-free-from-free-from-chicken-vegetable-pie/1000286860785,Chicken or vegetable broth
363,Heinz Chicken & Vegetable Chunky Big Soup,https://groceries.asda.com/product/tinned-soup/heinz-chicken-vegetable-chunky-big-soup/1972551,Chicken or vegetable broth
364,Yorkshire Provender Roast Chicken & Vegetable Soup 560g,https://groceries.asda.com/product/soup/yorkshire-provender-roast-chicken-vegetable-soup-560-g/1000383177643,Chicken or vegetable broth
365,ASDA Chicken & Vegetable Shortcrust Pie 500g,https://groceries.asda.com/product/pies/asda-chicken-vegetable-shortcrust-pie-500-g/1000383227372,Chicken or vegetable broth
366,Harringtons Superfoods Adult Chicken with Vegetables 1.7kg,https://groceries.asda.com/product/dry-dog-food/harringtons-superfoods-adult-chicken-with-vegetables-1-7-kg/1000383189296,Chicken or vegetable broth
367,Felix with Tasty Beef and Chicken and with Vegetables 2kg,https://groceries.asda.com/product/dry-cat-food-biscuits/felix-with-tasty-beef-and-chicken-and-with-vegetables-2-kg/1000383222940,Chicken or vegetable broth
368,Go Cat Senior with a Tasty Chicken and Turkey Mix and with Vegetables 7+ Years,https://groceries.asda.com/product/dry-cat-food-biscuits/go-cat-senior-with-a-tasty-chicken-and-turkey-mix-and-with-vegetables-7-years/1000275697710,Chicken or vegetable broth
369,Felix with Tasty Beef and Chicken and with Vegetables 750g,https://groceries.asda.com/product/dry-cat-food-biscuits/felix-with-tasty-beef-and-chicken-and-with-vegetables-750-g/1000383223027,Chicken or vegetable broth
370,Bakers Adult Chicken with Vegetables Dry Dog Food,https://groceries.asda.com/product/dry-dog-food/bakers-adult-chicken-with-vegetables-dry-dog-food/1000383135413,Chicken or vegetable broth
371,HiPP Organic Vegetable & Chicken Risotto 12+ Months 230g,https://groceries.asda.com/product/trays-kids-meals/hi-pp-organic-vegetable-chicken-risotto-12-months-230-g/1000383172920,Chicken or vegetable broth
372,Tilly & Ted Adult Chicken Dinner with Country Vegetables 1.5kg,https://groceries.asda.com/product/dry-dog-food/tilly-ted-adult-chicken-dinner-with-country-vegetables-1-5-kg/1000383223365,Chicken or vegetable broth
373,LITTLE ANGELS by ASDA Organic Vegetable & Chicken Biryani Baby Food 12+ Months,https://groceries.asda.com/product/trays-kids-meals/little-angels-by-asda-organic-vegetable-chicken-biryani-baby-food-12-months/1000196707140,Chicken or vegetable broth
374,HiPP Vegetables With Noodles & Chicken Baby Food Jar 7+ Months,https://groceries.asda.com/product/jars-pots/hi-pp-vegetables-with-noodles-chicken-baby-food-jar-7-months/21948,Chicken or vegetable broth
375,HiPP Vegetables With Rice And Chicken Baby Food Jar 6+ Months,https://groceries.asda.com/product/jars-pots/hi-pp-vegetables-with-rice-and-chicken-baby-food-jar-6-months/21956,Chicken or vegetable broth
376,Tilly & Ted Adult Chicken Dinner with Country Vegetables 395g,https://groceries.asda.com/product/dog-food-trays-pouches/tilly-ted-adult-chicken-dinner-with-country-vegetables-395-g/1000383223505,Chicken or vegetable broth
377,Go Cat Junior with a Tasty Chicken and Turkey Mix with Milk and with Vegetables <1 Year,https://groceries.asda.com/product/dry-cat-food-biscuits/go-cat-junior-with-a-tasty-chicken-and-turkey-mix-with-milk-and-with-vegetables-1-year/1000275697777,Chicken or vegetable broth
378,Go Cat 5 Promises with a Tasty Chicken and Turkey Mix and with Vegetables 1 + Years,https://groceries.asda.com/product/dry-cat-food-biscuits/go-cat-5-promises-with-a-tasty-chicken-and-turkey-mix-and-with-vegetables-1-years/1000275697697,Chicken or vegetable broth
379,Batchelors Cup a Soup Chicken & Vegetable with Croutons 4 Instant Soup Sachets,https://groceries.asda.com/product/packet-soup/batchelors-cup-a-soup-chicken-vegetable-with-croutons-4-instant-soup-sachets/668723,Chicken or vegetable broth
380,"HiLife Feed Me! Complete Nutrition with Turkey, Chicken, Bacon & Vegetables Dry Adult Dog Food",https://groceries.asda.com/product/dry-dog-food/hi-life-feed-me-complete-nutrition-with-turkey-chicken-bacon-vegetables-dry-adult-dog-food/1000084411021,Chicken or vegetable broth
381,Piccolo Organic Spring Vegetables & Chicken Casserole with Rice & A hint Tarragon 7 Months+,https://groceries.asda.com/product/pouches/piccolo-organic-spring-vegetables-chicken-casserole-with-rice-a-hint-tarragon-7-months/1000376028625,Chicken or vegetable broth
382,LITTLE ANGELS by ASDA Organic Vegetable & Chicken Cous Cous Baby Food 10+ Months,https://groceries.asda.com/product/pouches-trays/little-angels-by-asda-organic-vegetable-chicken-cous-cous-baby-food-10-months/1000196707127,Chicken or vegetable broth
383,Bakers Senior Chicken With Vegetables Dry Dog Food 1.1kg,https://groceries.asda.com/product/dry-dog-food/bakers-senior-chicken-with-vegetables-dry-dog-food-1-1-kg/1000383183032,Chicken or vegetable broth
384,Harringtons Grain Free Chicken & Potato with Vegetables Adult Dog Food Tray,https://groceries.asda.com/product/dog-food-trays-pouches/harringtons-grain-free-chicken-potato-with-vegetables-adult-dog-food-tray/910002341117,Chicken or vegetable broth
385,Naturo Grain Free Chicken & Potato with Vegetables Adult Dog Food Tray,https://groceries.asda.com/product/dog-food-trays-pouches/naturo-grain-free-chicken-potato-with-vegetables-adult-dog-food-tray/1000023134917,Chicken or vegetable broth
386,LITTLE ANGELS by ASDA Organic Vegetable & Chicken Curry with Rice Baby Food 7+ Months,https://groceries.asda.com/product/little-angels-baby-food/little-angels-by-asda-organic-vegetable-chicken-curry-with-rice-baby-food-7-months/1000280211478,Chicken or vegetable broth
